,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec, ANNUAL,FLOODS,avg_june,sub
95,KERALA,1996,2.8,9.1,14.4,124.3,74.3,572.4,696.0,327.4,342.7,294.1,89.9,62.5,11.9,213.0,1938.5,446.5,2610.0,0,190.79999999999998,498.09999999999997
96,KERALA,1997,2.1,1.5,36.1,60.6,133.6,544.2,970.5,536.0,292.2,288.9,298.4,88.4,3.6,230.3,2342.9,675.7,3252.4,1,181.4,410.6
97,KERALA,1998,6.0,2.1,8.1,61.1,151.6,732.5,641.4,371.8,517.6,444.8,135.0,79.4,8.1,220.8,2263.3,659.2,3151.5,1,244.16666666666666,580.9
98,KERALA,1999,1.8,23.8,21.4,111.6,453.2,607.3,700.4,266.3,88.0,567.9,68.1,4.9,25.6,586.2,1662.0,640.9,2914.6,0,202.4333333333333,154.09999999999997
99,KERALA,2000,11.7,57.8,21.5,96.3,124.5,633.8,343.2,566.5,195.8,214.2,78.1,69.1,69.5,242.3,1739.3,361.4,2412.6,0,211.26666666666665,509.29999999999995
100,KERALA,2001,16.5,28.3,7.0,238.0,238.6,715.3,598.5,361.3,216.8,319.6,181.0,10.1,44.8,483.6,1891.9,510.7,2931.1,0,238.4333333333333,476.69999999999993
101,KERALA,2002,4.7,8.7,35.7,117.3,330.8,503.1,318.7,438.2,99.0,511.7,137.5,2.1,13.4,483.8,1359.0,651.3,2507.4,0,167.70000000000002,172.3
102,KERALA,2003,0.7,50.9,82.1,134.4,91.0,566.7,532.0,350.3,93.6,407.0,76.4,9.7,51.6,307.5,1542.6,493.1,2394.9,0,188.9,475.70000000000005
103,KERALA,2004,2.4,8.1,37.9,113.2,610.9,673.4,385.4,417.9,192.8,320.6,120.7,2.7,10.5,762.0,1669.5,444.0,2886.1,0,224.46666666666667,62.5
104,KERALA,2005,19.8,7.0,25.3,205.9,134.8,619.2,832.7,291.0,414.7,240.1,184.3,56.4,26.8,366.0,2157.6,480.8,3031.1,1,206.4,484.40000000000003
105,KERALA,2006,8.1,0.5,90.7,65.3,521.2,482.4,804.0,432.6,474.8,376.4,162.8,1.8,8.6,677.2,2193.8,541.0,3420.6,1,160.79999999999998,38.80000000000007
